Tickler,Company,MarketCap_EUR,Price_EUR,Revenue_EUR,ISIN,Official_Xetra_Name,Primary_Market_MIC
LR.PA,Legrand SA,36751479818,140.55,10106600000,FR0010307819,LEGRAND S.A.    INH. EO 4,XPAR
DHI,"D.R. Horton, Inc.",36552536317,127.45,29191255000,US23331A1097,"D.R.HORTON INC.    DL-,01",XNYS
LYV,"Live Nation Entertainment, Inc.",36404791510,158.7,22996349886,US5380341090,"LIVE NATION ENTMT.DL -,01",XNYS
UAL,"United Airlines Holdings, Inc.",36375908578,111.5,55058120600,US9100471096,"UTD AIRLINES HLDGS DL-,01",XNAS
BMPS.MI,Banca Monte dei Paschi di Siena S.p.A.,36154403654,11.926,3998418000,IT0005508921,BCA MONTE D.PASCHI D.SIE.,XMIL
CMG,"Chipotle Mexican Grill, Inc.",35891493630,28.635,10874516253,US1696561059,"CHIPOTLE MEX.GR.  DL -,01",XNYS
BMW.DE,Bayerische Motoren Werke Aktiengesellschaft,35800777988,59.78,128034000000,DE0005190003,BAY.MOTOREN WERKE AG ST,XMUN
A,"Agilent Technologies, Inc.",35661001099,124.15,6164556800,US00846U1016,"AGILENT TECHS INC. DL-,01",XNYS
YUM,"Yum! Brands, Inc.",35588320952,129.85,7634366600,,,
DTG.F,Daimler Truck Holding AG,35479367868,46.72,44621000000,DE000DTR0CK8,DAIMLER TRUCK HLDG NA ON,XFRA
KDP,Keurig Dr Pepper Inc.,35323931561,26.005,17584777000,US49271V1008,"KEURIG DR PEPPER   DL-,01",XNAS
PST.MI,Poste Italiane S.p.A.,35277599161,27.58,14436000000,IT0003796171,"POSTE ITALIANE SPA EO-,51",XMIL
KER.PA,Kering SA,35148550314,287.20001,14456000000,FR0000121485,KERING S.A. INH.     EO 4,XPAR
COIN,"Coinbase Global, Inc.",35054428938,131.52,5290097001,US19260Q1076,"COINBASE GLB.CL.A -,00001",XNAS
TSCO.L,Tesco PLC,34559655907,5.55,83957989819,GB00BLGZ9862,"TESCO PLC     LS-,0633333",XLON
WAT,Waters Corporation,34554930875,342.2,4060034821,US9418481035,"WATERS CORP.       DL-,01",XNYS
ED,"Consolidated Edison, Inc.",34542992859,93.16,15483181700,US2091151041,CONSOLIDATED EDISON,XNYS
IBKR,"Interactive Brokers Group, Inc.",34421685232,75.22,5982675500,US45841N1072,INTERACTIVE BROKERS DL-01,XNAS
ROP,"Roper Technologies, Inc.",34412188230,344.10001,7247746590,US7766961061,"ROPER TECHNOLOGIES DL-,01",XNAS
HOT.DE,HOCHTIEF Aktiengesellschaft,34039302102,452.4,40003265000,DE0006070006,HOCHTIEF AG,XFRA
IQV,IQVIA Holdings Inc.,33985867300,203.8,14865219900,US46266C1053,"IQVIA HLDGS        DL-,01",XNYS
SSE.L,SSE plc,33654028492,28.2,11666041361,GB0007908733,"SSE PLC    LS-,50",XLON
LDO.MI,Leonardo S.p.a.,33533531095,57.98,20587000000,IT0003856405,"LEONARDO S.P.A.   EO 4,40",XMIL
SIKA.SW,Sika AG,33330002029,205,12040466470,CH0418792922,"SIKA AG  NAM.     SF 0,01",XSWX
PCG,PG&E Corporation,33259979845,15.1,22615126100,US69331C1080,PG + E CORP.,XNYS
TEAM,Atlassian Corporation,32722236538,124,5752741192,US0494681010,ATLASSIAN CORP. CL.A,XNAS
PEG,Public Service Enterprise Group Incorporated,32619547442,66.02,10978887900,US7445731067,PUBL. SVC.ENTER.,XNYS
STLD,"Steel Dynamics, Inc.",32522912409,225.4,17977504853,US8581191009,"STEEL DYNAMIC    DL-,0025",XNAS
ABN.AS,ABN AMRO Bank N.V.,32413152877,40.11,8775000000,NL0011540547,ABN AMRO BANK EO1,XAMS
MAERSK-A.CO,A.P. Møller - Mærsk A/S,32408814093,2230,46519370100,DK0010244425,A.P.MOELL.-M.NAM A DK1000,XCSE
VOD.L,Vodafone Group Public Limited Company,32386437078,1.405,40461000000,GB00BH4HKS39,VODAFONE GROUP PLC,XLON
VEEV,Veeva Systems Inc.,32384134065,185.95,2829299718,US9224751084,"VEEVA SYSTEMS A DL-,00001",XNYS
NTAP,"NetApp, Inc.",32169624986,163.18,5915335000,US64110D1046,NETAPP INC.,XNAS
KVUE,Kenvue Inc.,31970129577,16.61,13509734400,US49177J1025,"KENVUE INC.      DL -,001",XNYS
EXPE,"Expedia Group, Inc.",31930119560,260,13742210000,US30212P3038,"EXPEDIA GRP INC. DL-,0001",XNAS
HSY,The Hershey Company,31692556424,158.4,10665318042,US4278661081,HERSHEY CO.          DL 1,XNYS
KMB,Kimberly-Clark Corporation,31552837588,94.11,14514224600,US4943681035,"KIMBERLY-CLARK    DL 1,25",XNAS
HEN.DE,Henkel AG & Co. KGaA,30961928983,74.45,20441000000,DE0006048408,HENKEL AG+CO.KGAA ST O.N.,XDUS
JBL,Jabil Inc.,30928464690,298.6,28759758000,US4663131039,"JABIL DL-,001",XNYS
HBAN,Huntington Bancshares Incorporated,30671412370,15.18,8032628100,US4461501045,"HUNTINGTON BANCSHS DL-,01",XNAS
HNR1.DE,Hannover Rück SE,30583433182,253.6,24300400000,DE0008402215,HANNOVER RUECK SE NA O.N.,XHAN
BPE.MI,BPER Banca SpA,30385924209,14.824,6118647000,IT0000066123,BPER BANCA           EO 3,XMIL
PRU.L,Prudential plc,30340254355,12.255,12287475900,GB0007099541,"PRUDENTIAL PLC     LS-,05",XLON
WEC,"WEC Energy Group, Inc.",30336561265,94,8873266220,US92939U1060,WEC ENERGY GRP      DL 10,XNYS
KR,The Kroger Co.,30063490466,48.705,128146854500,US5010441013,KROGER CO.           DL 1,XNYS
TLX.DE,Talanx AG,30061915019,116.5,45424000000,DE000TLX1005,TALANX AG NA O.N.,XFRA
ALC.SW,Alcon Inc.,29945630092,61.42,9222868200,CH0432492467,"ALCON AG  NAM. SF -,04",XSWX
DSY.PA,Dassault Systèmes SE,29455947411,22.29,6206200000,FR0014003TT8,"DASSAULT SYS SE INH.EO0,1",XPAR
RJF,"Raymond James Financial, Inc.",29378326895,159.05,13339572000,US7547301090,"RAYMOND JAMES FIN. DL-,01",XNYS
ADYEN.AS,Adyen N.V.,29366479613,929.59998,2376362000,NL0012969182,"ADYEN N.V.         EO-,01",XAMS
NTRS,Northern Trust Corporation,29356606692,159.6,7952538150,US6658591044,"NORTHN TRUST CORP.DL1,666",XNAS
AD.AS,Koninklijke Ahold Delhaize N.V.,29122487427,33.39,91424000000,NL0011794037,"AHOLD DELHAIZE,KON.EO-,01",XAMS
ERIC-B.ST,Telefonaktiebolaget LM Ericsson (publ),29010143116,8.816,20550000327,SE0000108656,ERICSSON B (FRIA),XSTO
ADS.DE,adidas AG,28541248224,164.05,26041000000,DE000A1EWWW0,ADIDAS AG NA O.N.,XFRA
MLM,"Martin Marietta Materials, Inc.",28502024465,477.39999,5854006400,US5732841060,"MARTIN MAR. MAT.   DL-,01",XNYS
